feature,bin,score_contribution
recency_days,0.0,1.1959772852865103
recency_days,0.5,1.1937944799080378
recency_days,1.5,1.1813716728641115
recency_days,2.5,1.117230517966615
recency_days,3.5,1.0067264176740247
recency_days,4.5,0.9998329271170622
recency_days,5.5,0.9871265683282366
recency_days,6.5,0.9732490199319259
recency_days,7.5,0.96330708118483
recency_days,8.5,0.952473214755696
recency_days,9.5,0.9457757565269824
recency_days,10.5,0.9384314695962168
recency_days,11.5,0.9293484404965726
recency_days,12.5,0.9210001029805507
recency_days,13.5,0.9099956450798437
recency_days,14.5,0.8990043547953843
recency_days,15.5,0.8790300195415112
recency_days,16.5,0.5416770846008082
recency_days,17.5,0.47545410175272634
recency_days,18.5,0.28727266041722865
recency_days,19.5,0.2731592287428603
recency_days,20.5,0.25565397966799497
recency_days,21.5,0.25086632844536516
recency_days,22.5,0.22575113483786838
recency_days,23.5,0.19792385663069875
recency_days,24.5,0.17666121317115807
recency_days,25.5,0.09058702903027052
recency_days,26.5,0.016645419308091804
recency_days,27.5,-0.00435200501118465
recency_days,28.5,-0.019825209995903228
recency_days,29.5,-0.03851956392149859
recency_days,30.5,-0.07127853556164784
recency_days,31.5,-0.08694329458764265
recency_days,32.5,-0.10137071493744669
recency_days,33.5,-0.13274945252852605
recency_days,34.5,-0.1969861207031594
recency_days,35.5,-0.21506441229594592
recency_days,36.5,-0.2694716955311363
recency_days,37.5,-0.2857119804360383
recency_days,38.5,-0.3056928847286961
recency_days,39.5,-0.376328968645144
recency_days,40.5,-0.4620862877271271
recency_days,41.5,-0.47143382446668336
recency_days,42.5,-0.48669579426199716
recency_days,43.5,-0.5805915047855241
recency_days,44.5,-0.5999094581408113
recency_days,45.5,-0.8059801464328817
recency_days,46.5,-0.824918419188266
recency_days,47.5,-0.8607727956354669
recency_days,48.5,-0.8672334069441664
recency_days,49.5,-0.8809632428957754
recency_days,50.5,-0.8906334289622458
recency_days,51.5,-0.9591956050681836
recency_days,52.5,-0.9683632991770635
recency_days,53.5,-0.983438207917766
recency_days,54.5,-1.021265874575297
recency_days,55.5,-1.0315560184233785
recency_days,56.5,-1.0370396197857688
recency_days,57.5,-1.050437207714894
recency_days,58.5,-1.0592824163088552
recency_days,59.5,-1.5538277870453379
fatigue_score,0.0037914749538673,0.38953969154538926
fatigue_score,0.051920875709473846,0.38722126385876343
fatigue_score,0.0757144887216586,0.385029181470101
fatigue_score,0.0975205092679288,0.38144252329368733
fatigue_score,0.11088610777221194,0.3751388451400861
fatigue_score,0.12872696208965734,0.35387713032236395
fatigue_score,0.13984823562203114,0.3499680822895407
fatigue_score,0.15442918207018586,0.270967153400436
fatigue_score,0.16598816462997285,0.2684845809637916
fatigue_score,0.17443964977676596,0.2638136786896326
fatigue_score,0.18570301741314565,0.23516879113381248
fatigue_score,0.1971239702847647,0.22746987880435826
fatigue_score,0.2083119741792427,0.22398729798262276
fatigue_score,0.2186146923972469,0.21494093424593738
fatigue_score,0.22923919015076585,0.21109595544082507
fatigue_score,0.2366842864006872,0.2081649713061437
fatigue_score,0.24596555468332976,0.2047239466610739
fatigue_score,0.254846948074826,0.20197091961237967
fatigue_score,0.26440645241480976,0.19888256702961205
fatigue_score,0.27174461861245175,0.14674414565079635
fatigue_score,0.28010307813913554,-0.000681860073737372
fatigue_score,0.28835208039837235,-0.008424188288917923
fatigue_score,0.2974996864134259,-0.010949489084129453
fatigue_score,0.3069675624972138,-0.014491286268928249
fatigue_score,0.31479878001549655,-0.01897705566313692
fatigue_score,0.32539781016019664,-0.021923771623803465
fatigue_score,0.33562772222300236,-0.04354561117893296
fatigue_score,0.34339583913454225,-0.04807042268641154
fatigue_score,0.35217149313892565,-0.05062275818580523
fatigue_score,0.35971187879681865,-0.060971407151697216
fatigue_score,0.3679268794311072,-0.07325782382920687
fatigue_score,0.3767658621953305,-0.07647863925607082
fatigue_score,0.384901300969857,-0.07986594276722545
fatigue_score,0.3936979778687769,-0.08225994230939868
fatigue_score,0.40583453723732177,-0.08506468569909822
fatigue_score,0.4137727868178446,-0.08799788678532912
fatigue_score,0.42284619577198956,-0.09012325431576947
fatigue_score,0.4336049249122189,-0.0936883502989053
fatigue_score,0.440294617450004,-0.09624554691063911
fatigue_score,0.45208627299068427,-0.10150831572141956
fatigue_score,0.4602907669425342,-0.1075445531767045
fatigue_score,0.4701649760615581,-0.1103227830046455
fatigue_score,0.4786839967067211,-0.11341036284813874
fatigue_score,0.49154341548921465,-0.11526177907510364
fatigue_score,0.5026330172198429,-0.1173145045027948
fatigue_score,0.5120632949126294,-0.11871071925610875
fatigue_score,0.523443738098841,-0.1202255887892183
fatigue_score,0.53582248855501,-0.12343510733004999
fatigue_score,0.5516955718708938,-0.12594682092917914
fatigue_score,0.5648279158566258,-0.1292153194871548
fatigue_score,0.5784003130535107,-0.1315148545958457
